Name, Time, ActionType, 撿甘蔗次數, 玩家對話紀錄
1班1號, 2024/4/23 下午 04:23:10, 進入第一單元, 0, 
1班1號, 2024/4/23 下午 04:23:19, 進入單元任務說明區域, 0, 
1班1號, 2024/4/23 下午 04:23:21, 進入單元任務說明區域, 0, 
1班1號, 2024/4/23 下午 04:23:23, 進入單元任務說明區域, 0, 
, 2024/4/25 上午 09:50:32, 進入第一單元, 0, 
, 2024/4/25 上午 09:53:52, 進入單元任務說明區域, 0, 
, 2024/4/25 上午 09:54:19, 使用者進入了荷蘭人A區域, 0, 
, 2024/4/25 上午 09:54:21, 和黑色荷蘭人說話, 0, 
, 2024/4/25 上午 09:54:54, 和粉紅衣服男子甲對話, 0, 
, 2024/4/25 上午 09:54:58, 和被荷蘭人收稅並且提示郭懷一位置的NPC對話, 0, 
, 2024/4/25 上午 09:55:03, 使用者進入了竹簡區域, 0, 
, 2024/4/25 上午 09:55:03, 碰到驚嘆號, 0, 
, 2024/4/25 上午 09:55:39, 成功完成，1.認識抗荷的背景(前往竹簡), 0, 
, 2024/4/25 上午 09:56:22, 使用者進入了荷蘭人A區域, 0, 
, 2024/4/25 上午 09:57:29, 使用者進入了甘蔗田, 0, 
, 2024/4/25 上午 09:57:42, 成功完成，2.了解荷蘭開墾台灣的規劃(尋找甘蔗), 0, 
, 2024/4/25 上午 09:57:42, 撿取甘蔗, 1, 
, 2024/4/25 上午 09:57:52, 使用者進入了甘蔗田, 1, 
, 2024/4/25 上午 09:58:21, 撿取甘蔗, 2, 
, 2024/4/25 上午 09:59:01, 使用者進入了荷蘭人A區域, 2, 
, 2024/4/25 上午 09:59:10, 和黑色荷蘭人說話, 2, 
, 2024/4/25 上午 09:59:13, 撿取甘蔗, 3, 
, 2024/4/25 上午 09:59:17, 撿取甘蔗, 4, 
, 2024/4/25 上午 09:59:27, 和黑色荷蘭人說話, 4, 
, 2024/4/25 上午 09:59:58, 和黑色荷蘭人說話, 4, 
, 2024/4/25 上午 10:00:19, 和黑色荷蘭人說話, 4, 
, 2024/4/25 上午 10:00:41, 成功完成，3.蔗糖是荷蘭人重要的經濟來源(找到荷蘭人並繳交甘蔗), 4, 
, 2024/4/25 上午 10:00:42, 和黑色荷蘭人說話, 4, 
, 2024/4/25 上午 10:07:58, 使用者進入了竹簡區域, 4, 
, 2024/4/25 上午 10:07:58, 碰到驚嘆號, 4, 
, 2024/4/25 上午 10:08:11, 使用者進入了郭懷一區域, 4, 
, 2024/4/25 上午 10:08:14, 和郭懷一說話, 4, 
, 2024/4/25 上午 10:08:29, 成功完成，4.認識郭懷一擔任使節的原由、郭懷一抗荷蘭的成因(獲得文件), 4, 
, 2024/4/25 上午 10:08:43, 和藍色衣服男子對話, 4, 
, 2024/4/25 上午 10:08:49, 和被荷蘭人逼買執照並且提示荷蘭人長官衣服顏色的漁夫NPC對話, 4, 
, 2024/4/25 上午 10:08:56, 使用者進入了荷蘭人A區域, 4, 
, 2024/4/25 上午 10:08:58, 和粉紅衣服男子甲對話, 4, 
