名稱	 時間	 執行動作	空白	荷蘭人對話	郭懷一對話	荷蘭人長官對話	路人甲對話	路人乙對話	路人丙對話	路人丁對話	路人戊對話	撿取蔗糖	撿取文件
1班5	 2024/4/25 上午 12:56:09	 荷蘭人對話	0	1	0	0	0	0	0	0	0	0	0
1班5	 2024/4/25 上午 12:59:33	 撿取蔗糖	0	1	0	0	0	0	0	0	0	1	0
1班5	 2024/4/25 上午 01:00:09	 撿取蔗糖	0	1	0	0	0	0	0	0	0	2	0
1班5	 2024/4/25 上午 01:00:09	 撿取蔗糖	0	1	0	0	0	0	0	0	0	3	0
1班5	 2024/4/25 上午 01:01:55	 撿取蔗糖	0	1	0	0	0	0	0	0	0	4	0
1班5	 2024/4/25 上午 01:01:57	 撿取蔗糖	0	1	0	0	0	0	0	0	0	5	0
1班5	 2024/4/25 上午 01:02:19	 撿取蔗糖	0	1	0	0	0	0	0	0	0	6	0
1班5	 2024/4/25 上午 01:02:40	 撿取蔗糖	0	1	0	0	0	0	0	0	0	7	0
1班5	 2024/4/25 上午 01:02:43	 撿取蔗糖	0	1	0	0	0	0	0	0	0	8	0
1班5	 2024/4/25 上午 01:03:00	 撿取蔗糖	0	1	0	0	0	0	0	0	0	9	0
1班5	 2024/4/25 上午 01:04:12	 撿取蔗糖	0	1	0	0	0	0	0	0	0	10	0
1班5	 2024/4/25 上午 01:04:30	 撿取蔗糖	0	1	0	0	0	0	0	0	0	11	0
1班5	 2024/4/25 上午 01:04:53	 撿取蔗糖	0	1	0	0	0	0	0	0	0	12	0
1班5	 2024/4/25 上午 01:05:18	 撿取蔗糖	0	1	0	0	0	0	0	0	0	13	0
1班5	 2024/4/25 上午 01:05:33	 撿取蔗糖	0	1	0	0	0	0	0	0	0	14	0
1班5	 2024/4/25 上午 01:05:50	 撿取蔗糖	0	1	0	0	0	0	0	0	0	15	0
1班5	 2024/4/25 上午 01:06:26	 撿取蔗糖	0	1	0	0	0	0	0	0	0	16	0
1班5	 2024/4/25 上午 01:06:39	 撿取蔗糖	0	1	0	0	0	0	0	0	0	17	0
1班5	 2024/4/25 上午 01:06:40	 撿取蔗糖	0	1	0	0	0	0	0	0	0	18	0
1班5	 2024/4/25 上午 01:06:44	 荷蘭人對話	0	2	0	0	0	0	0	0	0	18	0
1班5	 2024/4/25 上午 01:06:49	 撿取蔗糖	0	2	0	0	0	0	0	0	0	19	0
1班5	 2024/4/25 上午 01:06:55	 荷蘭人對話	0	3	0	0	0	0	0	0	0	19	0
1班5	 2024/4/25 上午 01:07:30	 郭懷一對話	0	3	1	0	0	0	0	0	0	19	0
1班5	 2024/4/25 上午 01:07:31	 撿取文件	0	3	1	0	0	0	0	0	0	19	1
1班5	 2024/4/25 上午 01:07:50	 撿取文件	0	3	1	0	0	0	0	0	0	19	2
1班5	 2024/4/25 上午 01:08:26	 撿取文件	0	3	1	0	0	0	0	0	0	19	3
1班5	 2024/4/25 上午 01:08:32	 撿取文件	0	3	1	0	0	0	0	0	0	19	4
1班5	 2024/4/25 上午 01:08:41	 撿取文件	0	3	1	0	0	0	0	0	0	19	5
1班5	 2024/4/25 上午 01:08:46	 撿取文件	0	3	1	0	0	0	0	0	0	19	6
1班5	 2024/4/25 上午 01:09:00	 撿取文件	0	3	1	0	0	0	0	0	0	19	7
1班5	 2024/4/25 上午 01:09:10	 撿取文件	0	3	1	0	0	0	0	0	0	19	8
1班5	 2024/4/25 上午 01:09:20	 撿取文件	0	3	1	0	0	0	0	0	0	19	9
1班5	 2024/4/25 上午 01:09:28	 撿取文件	0	3	1	0	0	0	0	0	0	19	10
1班5	 2024/4/25 上午 01:09:48	 撿取文件	0	3	1	0	0	0	0	0	0	19	11
1班5	 2024/4/25 上午 01:10:20	 撿取文件	0	3	1	0	0	0	0	0	0	19	12
1班5	 2024/4/25 上午 01:10:30	 撿取文件	0	3	1	0	0	0	0	0	0	19	13
1班5	 2024/4/25 上午 01:10:34	 撿取文件	0	3	1	0	0	0	0	0	0	19	14
1班5	 2024/4/25 上午 01:10:56	 撿取文件	0	3	1	0	0	0	0	0	0	19	15
1班5	 2024/4/25 上午 01:10:58	 撿取文件	0	3	1	0	0	0	0	0	0	19	16
1班5	 2024/4/25 上午 01:11:27	 撿取文件	0	3	1	0	0	0	0	0	0	19	17
1班5	 2024/4/25 上午 01:11:51	 撿取文件	0	3	1	0	0	0	0	0	0	19	18
1班5	 2024/4/25 上午 01:12:12	 撿取文件	0	3	1	0	0	0	0	0	0	19	19
1班5	 2024/4/25 上午 01:12:20	 撿取文件	0	3	1	0	0	0	0	0	0	19	20
1班5	 2024/4/25 上午 01:12:40	 撿取文件	0	3	1	0	0	0	0	0	0	19	21
1班5	 2024/4/25 上午 01:12:50	 撿取文件	0	3	1	0	0	0	0	0	0	19	22
1班5	 2024/4/25 上午 01:13:00	 撿取文件	0	3	1	0	0	0	0	0	0	19	23
1班5	 2024/4/25 上午 01:13:07	 荷蘭人長官對話	0	3	1	1	0	0	0	0	0	19	23
