名稱, 時間, 執行動作,空白,荷蘭人對話,郭懷一對話,荷蘭人長官對話,路人甲對話,路人乙對話,路人丙對話,路人丁對話,路人戊對話,撿取蔗糖,撿取文件
1班1, 2024/4/25 上午 12:56:40, 荷蘭人對話, 0,1,0,0,0,0,0,0,0,0,0
1班1, 2024/4/25 上午 12:58:09, 荷蘭人長官對話, 0,1,0,1,0,0,0,0,0,0,0
1班1, 2024/4/25 上午 12:58:58, 郭懷一對話, 0,1,1,1,0,0,0,0,0,0,0
1班1, 2024/4/25 上午 12:59:03, 郭懷一對話, 0,1,2,1,0,0,0,0,0,0,0
1班1, 2024/4/25 上午 12:59:44, 郭懷一對話, 0,1,3,1,0,0,0,0,0,0,0
1班1, 2024/4/25 上午 01:00:32, 路人乙對話, 0,1,3,1,0,1,0,0,0,0,0
1班1, 2024/4/25 上午 01:00:49, 路人甲對話, 0,1,3,1,1,1,0,0,0,0,0
1班1, 2024/4/25 上午 01:01:11, 路人戊對話, 0,1,3,1,1,1,0,0,1,0,0
1班1, 2024/4/25 上午 01:01:25, 路人丙對話, 0,1,3,1,1,1,1,0,1,0,0
1班1, 2024/4/25 上午 01:01:57, 路人丁對話, 0,1,3,1,1,1,1,1,1,0,0
1班1, 2024/4/25 上午 01:04:06, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,1,0
1班1, 2024/4/25 上午 01:04:31, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,2,0
1班1, 2024/4/25 上午 01:04:43, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,3,0
1班1, 2024/4/25 上午 01:04:59, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,4,0
1班1, 2024/4/25 上午 01:05:03, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,5,0
1班1, 2024/4/25 上午 01:05:06, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,6,0
1班1, 2024/4/25 上午 01:05:09, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,7,0
1班1, 2024/4/25 上午 01:05:17, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,8,0
1班1, 2024/4/25 上午 01:05:22, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,9,0
1班1, 2024/4/25 上午 01:05:26, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,10,0
1班1, 2024/4/25 上午 01:05:29, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,11,0
1班1, 2024/4/25 上午 01:05:34, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,12,0
1班1, 2024/4/25 上午 01:05:39, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,13,0
1班1, 2024/4/25 上午 01:05:43, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,14,0
1班1, 2024/4/25 上午 01:05:46, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,15,0
1班1, 2024/4/25 上午 01:05:52, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,16,0
1班1, 2024/4/25 上午 01:05:55, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,17,0
1班1, 2024/4/25 上午 01:06:00, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,18,0
1班1, 2024/4/25 上午 01:06:04, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,19,0
1班1, 2024/4/25 上午 01:06:11, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,20,0
1班1, 2024/4/25 上午 01:06:15, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,21,0
1班1, 2024/4/25 上午 01:06:34, 撿取蔗糖, 0,1,3,1,1,1,1,1,1,22,0
1班1, 2024/4/25 上午 01:06:39, 荷蘭人對話, 0,2,3,1,1,1,1,1,1,22,0
1班1, 2024/4/25 上午 01:07:39, 郭懷一對話, 0,2,4,1,1,1,1,1,1,22,0
1班1, 2024/4/25 上午 01:08:05, 撿取文件, 0,2,4,1,1,1,1,1,1,22,1
1班1, 2024/4/25 上午 01:08:10, 撿取文件, 0,2,4,1,1,1,1,1,1,22,2
1班1, 2024/4/25 上午 01:08:11, 撿取文件, 0,2,4,1,1,1,1,1,1,22,3
1班1, 2024/4/25 上午 01:08:12, 撿取文件, 0,2,4,1,1,1,1,1,1,22,4
1班1, 2024/4/25 上午 01:08:12, 撿取文件, 0,2,4,1,1,1,1,1,1,22,5
1班1, 2024/4/25 上午 01:08:13, 撿取文件, 0,2,4,1,1,1,1,1,1,22,6
1班1, 2024/4/25 上午 01:08:28, 撿取文件, 0,2,4,1,1,1,1,1,1,22,7
1班1, 2024/4/25 上午 01:09:23, 郭懷一對話, 0,2,5,1,1,1,1,1,1,22,7
1班1, 2024/4/25 上午 01:10:20, 郭懷一對話, 0,2,6,1,1,1,1,1,1,22,7
1班1, 2024/4/25 上午 01:14:19, 荷蘭人長官對話, 0,0,0,1,0,0,0,0,0,0,0
1班1, 2024/4/25 上午 01:14:54, 荷蘭人對話, 0,1,0,1,0,0,0,0,0,0,0
1班1, 2024/4/25 上午 01:15:14, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,1,0
1班1, 2024/4/25 上午 01:15:45, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,2,0
1班1, 2024/4/25 上午 01:15:51, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,3,0
1班1, 2024/4/25 上午 01:15:55, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,4,0
1班1, 2024/4/25 上午 01:15:59, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,5,0
1班1, 2024/4/25 上午 01:16:11, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,6,0
1班1, 2024/4/25 上午 01:16:14, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,7,0
1班1, 2024/4/25 上午 01:16:17, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,8,0
1班1, 2024/4/25 上午 01:16:19, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,9,0
1班1, 2024/4/25 上午 01:16:32, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,10,0
1班1, 2024/4/25 上午 01:16:36, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,11,0
1班1, 2024/4/25 上午 01:16:41, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,12,0
1班1, 2024/4/25 上午 01:16:46, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,13,0
1班1, 2024/4/25 上午 01:16:49, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,14,0
1班1, 2024/4/25 上午 01:16:57, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,15,0
1班1, 2024/4/25 上午 01:17:10, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,16,0
1班1, 2024/4/25 上午 01:17:15, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,17,0
1班1, 2024/4/25 上午 01:17:21, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,18,0
1班1, 2024/4/25 上午 01:17:32, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,19,0
1班1, 2024/4/25 上午 01:17:37, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,20,0
1班1, 2024/4/25 上午 01:17:44, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,21,0
1班1, 2024/4/25 上午 01:17:49, 撿取蔗糖, 0,1,0,1,0,0,0,0,0,22,0
1班1, 2024/4/25 上午 01:18:08, 郭懷一對話, 0,1,1,1,0,0,0,0,0,22,0
1班1, 2024/4/25 上午 01:19:54, 荷蘭人長官對話, 0,1,1,2,0,0,0,0,0,22,0
1班1, 2024/4/25 上午 01:20:20, 郭懷一對話, 0,1,2,2,0,0,0,0,0,22,0
1班1, 2024/4/25 上午 01:20:46, 荷蘭人長官對話, 0,1,2,3,0,0,0,0,0,22,0
1班1, 2024/4/25 上午 01:21:19, 郭懷一對話, 0,1,3,3,0,0,0,0,0,22,0
1班1, 2024/4/25 上午 01:21:31, 荷蘭人對話, 0,2,3,3,0,0,0,0,0,22,0
