名稱, 時間, 執行動作
, 2024/4/25 上午 01:03:56, 完成第一分鏡, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:06:38, 完成第一分鏡, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:09:41, 與原住民(藍)對話, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:09:42, 與原住民(藍)對話, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:10:12, 與原住民(白)對話，完成第二分鏡, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:10:35, 選擇赤崁, 0, 1, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:10:35, 完成第三分鏡, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:10:56, 撿取糖漿, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:11:50, 撿取糯米漿, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:12:09, 撿取紅磚, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:12:40, 撿取蚵殼灰, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0
, 2024/4/25 上午 01:15:58, 合成黏著劑，完成第四分鏡, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0
, 2024/4/25 上午 01:16:41, 合成黏著劑，完成第四分鏡, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 2, 0, 0
, 2024/4/25 上午 01:16:59, 建造普羅民遮城, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 2, 1, 0
, 2024/4/25 上午 01:17:18, 完成第五分鏡, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 2, 1, 1
