名稱, 時間, 執行動作
, 2024/4/25 上午 01:15:21, 完成第一分鏡, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:16:13, 與原住民(藍)對話, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:16:21, 與原住民(藍)對話, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:16:25, 與原住民(藍)對話, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:17:01, 與原住民(藍)對話, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:17:13, 與原住民(白)對話，完成第二分鏡, 0, 1, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:17:34, 選擇大員, 0, 1, 4, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:17:39, 選擇北尾線, 0, 1, 4, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:17:42, 選擇赤崁, 0, 1, 4, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:17:42, 完成第三分鏡, 0, 1, 4, 1, 1, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:18:26, 撿取糖漿, 0, 1, 4, 1, 1, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:18:51, 撿取紅磚, 0, 1, 4, 1, 1, 2, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0
, 2024/4/25 上午 01:19:23, 撿取蚵殼灰, 0, 1, 4, 1, 1, 2, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0
, 2024/4/25 上午 01:19:46, 撿取糯米漿, 0, 1, 4, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0
, 2024/4/25 上午 01:19:53, 合成黏著劑，完成第四分鏡, 0, 1, 4, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0
, 2024/4/25 上午 01:19:56, 合成黏著劑，完成第四分鏡, 0, 1, 4, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 2, 2, 0, 0
, 2024/4/25 上午 01:20:13, 建造普羅民遮城, 0, 1, 4, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 2, 2, 1, 0
, 2024/4/25 上午 01:20:25, 完成第五分鏡, 0, 1, 4, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 2, 2, 1, 1
